-- cid, salutation, first_name, last_name, credit_card_num, credit_card_expire, street, city, state, phone, email --
'Mr', 'Richard', 'Lloyd', '7836483301113682', to_date('09/23', 'MM/YY'), '315 Friendship Lane', 'Boston', 'MA', '0181388379', '400@pitt.edu', 
'Ms', 'Anna', 'Tuft', '5308054580727223', to_date('06/22', 'MM/YY'), '336 Swanson Street', 'Boston', 'MA', '6350608509', '401@pitt.edu', 
'Mr', 'Peter', 'Wagner', '1035803546343336', to_date('02/19', 'MM/YY'), '796 Craig Street', 'Honolulu', 'HI', '8602825000', '402@pitt.edu', 
'Mr', 'Max', 'Dent', '0385422140719558', to_date('08/17', 'MM/YY'), '483 Farm Lane', 'Philadelphia', 'PA', '3646987009', '403@pitt.edu', 
'Mr', 'Charles', 'Misuraca', '5640185935371669', to_date('05/17', 'MM/YY'), '943 Yuletide Road', 'Billings', 'MT', '4534929849', '404@pitt.edu', 
'Ms', 'Susan', 'Tuft', '9147411632153318', to_date('06/17', 'MM/YY'), '971 Swanson Street', 'Harrisburg', 'PA', '5190202622', '405@pitt.edu', 
'Mr', 'Michael', 'Jordan', '4525954104778983', to_date('02/21', 'MM/YY'), '572 Walnut Street', 'Providence', 'RI', '3114686700', '406@pitt.edu', 
'Mr', 'Peter', 'Kent', '2231351750264673', to_date('03/16', 'MM/YY'), '306 Memory Lane', 'Honolulu', 'HI', '5838677803', '407@pitt.edu', 
'Ms', 'Penelope', 'Jordan', '2068297193447637', to_date('02/20', 'MM/YY'), '542 Walnut Street', 'Billings', 'MT', '3416747287', '408@pitt.edu', 
'Ms', 'Annie', 'Wagner', '8579994961056367', to_date('02/16', 'MM/YY'), '775 Craig Street', 'Providence', 'RI', '0899355327', '409@pitt.edu', 
'Mr', 'Tom', 'Cannon', '8911380982528337', to_date('04/18', 'MM/YY'), '796 Kenyon Trail', 'Hershey', 'PA', '2525605845', '410@pitt.edu', 
'Ms', 'Cassie', 'Cannon', '6937906180704233', to_date('04/17', 'MM/YY'), '366 Kenyon Trail', 'Honolulu', 'HI', '9271533651', '411@pitt.edu', 
'Mr', 'Charles', 'Wayne', '3167292930544701', to_date('01/17', 'MM/YY'), '867 Main Street', 'Billings', 'MT', '4260738276', '412@pitt.edu', 
'Mrs', 'Jessica', 'Roosevelt', '9544796409731175', to_date('07/19', 'MM/YY'), '957 Cathedral Road', 'Atlanta', 'GA', '7299598881', '413@pitt.edu', 
'Mrs', 'Penelope', 'Freeman', '3066131072349601', to_date('07/19', 'MM/YY'), '059 Pine Road', 'Billings', 'MT', '5169238736', '414@pitt.edu', 
'Ms', 'Jan', 'Tuft', '4201140352272635', to_date('06/18', 'MM/YY'), '995 Swanson Street', 'Philadelphia', 'PA', '3161215641', '415@pitt.edu', 
'Mrs', 'Beth', 'Lloyd', '5522305864695473', to_date('09/25', 'MM/YY'), '863 Friendship Lane', 'Indianapolis', 'IA', '8488710927', '416@pitt.edu', 
'Ms', 'Susan', 'Reilly', '7213716693362105', to_date('11/16', 'MM/YY'), '465 Fifth Avenue', 'Harrisburg', 'PA', '3238570851', '417@pitt.edu', 
'Mrs', 'Martha', 'Wayne', '6895458827881796', to_date('01/25', 'MM/YY'), '023 Main Street', 'Columbus', 'OH', '5822553103', '418@pitt.edu', 
'Mr', 'Patrick', 'Mann', '9188917406848598', to_date('05/19', 'MM/YY'), '143 Orchard Circle', 'Los Angeles', 'CA', '9463683679', '419@pitt.edu', 
'Mr', 'Max', 'Wright', '3878930211207286', to_date('06/19', 'MM/YY'), '784 McKee Street', 'Philadelphia', 'PA', '3801168544', '420@pitt.edu', 
